t_sim,x,y,z
64.194,44.217014,4.999999,94.056343
64.403,43.909718,4.999999,94.338593
64.610,43.598179,4.999999,94.613113
64.835,43.261150,4.999999,94.910133
65.042,42.950809,4.999999,95.183586
65.249,42.639565,4.999999,95.457878
65.457,42.327469,4.999999,95.732895
65.664,41.995689,4.999999,95.979912
65.871,41.652794,4.999999,96.210258
66.078,41.308281,4.999999,96.441658
66.285,40.965103,4.999999,96.672188
66.491,40.622757,4.999999,96.902153
66.699,40.277302,4.999999,97.134232
66.907,39.924038,5.000000,97.351158
67.116,39.549633,5.000000,97.536896
67.323,39.179302,5.000000,97.720650
67.529,38.810150,5.000000,97.903793
67.737,38.436363,5.000000,98.089233
67.946,38.062382,5.000000,98.274803
68.156,37.686115,5.000000,98.459641
68.364,37.292595,5.000000,98.594337
68.573,36.896385,5.000000,98.729912
68.781,36.503170,5.000000,98.864441
68.990,36.107895,5.000000,98.999748
69.195,35.718719,5.000000,99.132927
69.403,35.326752,5.000000,99.267059
69.659,34.827755,5.000000,99.382637
69.866,34.422379,5.000000,99.464195
70.076,34.010689,5.000000,99.547012
70.282,33.606194,5.000000,99.628441
70.491,33.196556,5.000000,99.710907
70.699,32.789650,5.000000,99.792831
70.913,32.363697,5.000000,99.841057
71.120,31.951227,5.000000,99.868805
71.330,31.532431,5.000000,99.896965
71.539,31.115030,5.000000,99.925056
71.748,30.697989,5.000000,99.953072
71.958,30.279650,5.000000,99.981186
72.165,29.865311,5.000000,99.985352
72.375,29.446615,5.000000,99.958893
72.587,29.024048,5.000000,99.932182
72.822,28.554020,5.000000,99.902489
73.031,28.136969,5.000000,99.876137
73.237,27.725454,5.000000,99.850121
73.445,27.312183,5.000000,99.807106
73.652,26.906523,5.000000,99.727440
73.863,26.492210,5.000000,99.646111
74.070,26.087109,5.000000,99.566582
74.279,25.677004,5.000000,99.486053
74.486,25.270878,5.000000,99.406319
74.693,24.863678,5.000000,99.326385
0.000,0.000000,0.000000,0.000000
0.020,0.000000,0.000000,0.000000
0.219,0.000000,0.000000,0.000000
0.552,0.000000,0.000000,0.000000
0.552,0.000000,0.000000,0.000000
0.552,0.000000,0.000000,0.000000
0.938,0.000000,0.000000,0.000000
1.237,0.000000,0.000000,0.000000
1.237,0.000000,0.000000,0.000000
1.570,0.000000,0.000000,0.000000
1.570,0.000000,0.000000,0.000000
1.904,0.000000,0.000000,0.000000
1.904,0.000000,0.000000,0.000000
1.904,0.000000,0.000000,0.000000
1.904,0.000000,0.000000,0.000000
2.237,0.000000,0.000000,0.000000
2.237,0.000000,0.000000,0.000000
2.570,0.000000,0.000000,0.000000
2.570,0.000000,0.000000,0.000000
2.570,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
2.904,0.000000,0.000000,0.000000
