target_id,t_sim,x,y,z
CUBE_1,22.815,-45.828289,0.000000,-47.103111
CUBE_3,23.030,-34.487431,1.751060,-154.713455
CUBE_1,23.032,-47.132805,0.000000,-47.103111
CUBE_3,23.243,-37.890503,1.751060,-154.713455
CUBE_1,23.357,-49.081589,0.000000,-47.103111
CUBE_3,23.568,-43.099331,1.751060,-154.713455
CUBE_1,23.570,-50.362301,0.000000,-47.103111
CUBE_3,23.786,-46.572830,1.751060,-154.713455
CUBE_1,23.788,-51.665569,0.000000,-47.103111
CUBE_3,24.003,-50.048313,1.751060,-154.713455
CUBE_1,24.110,-53.602451,0.000000,-47.103111
CUBE_3,24.350,-55.608990,1.751060,-154.713455
CUBE_1,24.352,-55.053165,0.000000,-47.103111
CUBE_3,24.563,-59.010319,1.751060,-154.713455
CUBE_1,24.565,-56.328850,0.000000,-47.103111
CUBE_3,24.776,-62.426289,1.751060,-154.713455
CUBE_1,24.778,-57.610523,0.000000,-47.103111
CUBE_3,24.987,-65.796249,1.751060,-154.713455
CUBE_1,24.989,-58.874321,0.000000,-47.103111
CUBE_3,25.197,-69.149452,1.751060,-154.713455
CUBE_1,25.199,-60.133343,0.000000,-47.103111
CUBE_3,25.410,-72.555977,1.751060,-154.713455
CUBE_1,25.412,-61.409851,0.000000,-47.103111
CUBE_3,25.624,-75.981422,1.751060,-154.713455
CUBE_1,25.626,-62.693981,0.000000,-47.103111
CUBE_3,25.844,-79.503845,1.751060,-154.713455
CUBE_1,25.846,-64.014000,0.000000,-47.103111
CUBE_3,26.103,-83.656570,1.751060,-154.713455
CUBE_1,26.105,-65.571167,0.000000,-47.103111
CUBE_3,26.338,-87.416214,1.751060,-154.713455
CUBE_1,26.348,-67.027885,0.000000,-47.103111
CUBE_3,26.618,-91.885063,1.751060,-154.713455
CUBE_1,26.619,-68.656960,0.000000,-47.103111
CUBE_3,26.831,-95.304634,1.751060,-154.713455
CUBE_1,26.833,-69.939598,0.000000,-47.103111
CUBE_3,27.055,-98.889603,1.751060,-154.713455
CUBE_1,27.057,-71.284546,0.000000,-47.103111
CUBE_3,27.269,-102.314896,1.751060,-154.713455
CUBE_1,27.271,-72.568382,0.000000,-47.103111
CUBE_3,27.498,-102.741486,1.751060,-151.461960
CUBE_1,27.504,-73.961319,0.000000,-47.103111
CUBE_3,27.724,-102.762329,1.751060,-147.848694
CUBE_1,27.729,-75.316063,0.000000,-47.103111
CUBE_3,27.940,-102.762329,1.751060,-144.385910
CUBE_1,27.942,-76.591896,0.000000,-47.103111
CUBE_3,28.168,-102.762550,1.751060,-140.731781
CUBE_1,28.170,-77.962059,0.000000,-47.103111
CUBE_3,28.384,-102.762550,1.751060,-137.282639
CUBE_1,28.386,-79.255394,0.000000,-47.103111
CUBE_3,28.599,-102.762550,1.751060,-133.838181
CUBE_1,28.601,-80.547699,0.000000,-47.103111
CUBE_3,28.815,-102.762550,1.751060,-130.387695
CUBE_1,28.817,-81.841049,0.000000,-47.103111
CUBE_3,29.094,-102.762550,1.751060,-125.921097
CUBE_1,29.096,-83.517952,0.000000,-47.103111
CUBE_3,29.307,-102.762550,1.751060,-122.519852
CUBE_1,29.308,-84.790756,0.000000,-47.103111
CUBE_3,29.558,-102.762550,1.751060,-118.496078
CUBE_1,29.560,-86.301979,0.000000,-47.103111
CUBE_3,29.771,-102.762550,1.751060,-115.091782
CUBE_1,29.773,-87.576012,0.000000,-47.103111
CUBE_3,29.988,-102.762550,1.751060,-111.614685
CUBE_1,29.994,-88.901527,0.000000,-47.103111
CUBE_3,30.206,-102.762550,1.751060,-108.128799
CUBE_1,30.208,-90.186501,0.000000,-47.103111
CUBE_3,30.431,-102.762550,1.751060,-104.532410
CUBE_1,30.436,-91.556602,0.000000,-47.103111
CUBE_3,30.741,-102.762550,1.751060,-99.570847
CUBE_1,30.743,-93.396530,0.000000,-47.103111
CUBE_3,30.992,-102.762550,1.751060,-95.543884
CUBE_1,30.994,-94.906853,0.000000,-47.103111
CUBE_3,31.202,-102.762550,1.751060,-92.195648
CUBE_1,31.204,-96.162422,0.000000,-47.103111
CUBE_3,31.421,-102.762550,1.751060,-88.690353
CUBE_1,31.423,-97.476624,0.000000,-47.103111
CUBE_3,31.644,-102.762550,1.751060,-85.123917
CUBE_1,31.646,-98.813347,0.000000,-47.103111
CUBE_3,31.863,-102.762550,1.751060,-81.614563
CUBE_1,31.865,-100.129204,0.000000,-47.103111
